FFMC,BUI,WSV,WINDDir,FWIBin,Season,Ecoregion
88.90993713,52.11316094,4.07,270,1,summer,FireRegion3
88.95893473,54.22136101,3.66,319,1,summer,FireRegion3
87.77746301,55.68983754,4.06,309,1,summer,FireRegion3
86.28972475,64.75492459,3.66,257,1,summer,FireRegion3
86.7855958,66.80989123,2.33,149,1,summer,FireRegion3
87.1442211,68.94423447,2.1,260,1,summer,FireRegion3
87.19263574,70.95723789,2.15,282,1,summer,FireRegion3
87.76915923,73.30616096,2.33,285,1,summer,FireRegion3
88.13022748,75.69911212,2.98,305,1,summer,FireRegion3
88.15991454,77.62962056,3.81,281,1,summer,FireRegion3
86.85851624,79.0203032,3.31,271,1,summer,FireRegion3
86.74277752,80.57950224,3.51,263,1,summer,FireRegion3
86.79105962,82.49621988,2.9,272,1,summer,FireRegion3
86.83935767,84.42704821,2.31,265,1,summer,FireRegion3
87.80235237,86.81383159,3.97,278,1,summer,FireRegion3
87.76156865,88.6248555,3.42,270,1,summer,FireRegion3
86.44430886,89.93258838,3.5,245,1,summer,FireRegion3
86.11150722,91.32974653,2.86,116,1,summer,FireRegion3
85.50527607,92.55924603,2.64,280,1,summer,FireRegion3
85.55314961,94.18615789,2.32,283,1,summer,FireRegion3
86.05874274,96.05014235,2.89,286,1,summer,FireRegion3
87.0167493,98.23248416,3.75,276,1,summer,FireRegion3
88.19207887,100.7722478,3.05,247,1,summer,FireRegion3
88.44435404,103.2359364,3.53,119,1,summer,FireRegion3
88.49319792,105.5784821,3.07,103,1,summer,FireRegion3
89.45269564,108.4627287,2.72,272,1,summer,FireRegion3
89.80088596,111.3874801,2.61,278,1,summer,FireRegion3
90.11214542,114.4021757,3.37,284,1,summer,FireRegion3
90.16153993,117.0247519,3.49,246,1,summer,FireRegion3
89.96902488,119.3922422,3.42,306,1,summer,FireRegion3
90.01837213,121.9256242,3.35,278,1,summer,FireRegion3
90.06773568,124.518353,2.86,285,1,summer,FireRegion3
89.79194865,126.8094907,3.24,289,1,summer,FireRegion3
89.68595869,129.1273667,3.54,281,1,summer,FireRegion3
89.37093478,131.2212855,3.29,280,1,summer,FireRegion3
89.42008457,133.4343792,3.96,264,1,summer,FireRegion3
89.46925059,135.7647951,2.88,297,1,summer,FireRegion3
89.51843284,138.1289354,3.22,295,1,summer,FireRegion3
89.29476446,140.2074044,2.27,273,1,summer,FireRegion3
89.34388911,142.7122891,2.68,288,1,summer,FireRegion3
89.22526131,144.8097037,2.6,276,1,summer,FireRegion3
89.27436301,147.3215303,2.92,218,1,summer,FireRegion3
89.32348092,149.8151404,3.5,200,1,summer,FireRegion3
89.96935213,152.6393757,4,273,2,summer,FireRegion3
91.28270366,155.9573613,2.6,285,2,summer,FireRegion3
91.33248462,158.7603009,2.54,208,2,summer,FireRegion3
91.38228201,161.9049275,2.22,263,2,summer,FireRegion3
91.65157374,165.2084358,2.97,268,2,summer,FireRegion3
91.70147649,168.1174144,3.65,276,2,summer,FireRegion3
91.75139571,171.0138235,3.46,278,2,summer,FireRegion3
91.80133141,174.0213289,3.28,266,2,summer,FireRegion3
91.85128359,177.1069863,2.86,279,2,summer,FireRegion3
92.01473132,180.5076412,2.97,249,3,summer,FireRegion3
92.06475396,183.6752242,2.99,264,3,summer,FireRegion3
92.11479311,186.8544092,3.33,249,3,summer,FireRegion3
92.33776602,190.3643858,3.4,252,3,summer,FireRegion3
92.91647764,194.0981744,3.72,265,4,summer,FireRegion3
92.96679799,197.3796095,3.04,284,3,summer,FireRegion3
92.40985719,200.2367999,2.93,301,3,summer,FireRegion3
91.56125871,202.8145721,3.54,143,3,summer,FireRegion3
91.4862097,205.5349155,2.98,313,2,summer,FireRegion3
91.53605785,208.4987565,2.49,287,2,summer,FireRegion3
91.17881803,211.062118,2.87,261,2,summer,FireRegion3
91.02386454,213.6242607,1.99,280,2,summer,FireRegion3
90.38220405,215.9042848,2.69,276,2,summer,FireRegion3
90.36453351,218.0403241,3.52,259,2,summer,FireRegion3
89.26882294,219.7435446,3.54,231,1,summer,FireRegion3
88.78704235,221.4377751,3.17,251,1,summer,FireRegion3
88.57810471,223.1400981,3.22,303,1,summer,FireRegion3
87.39709813,224.4806586,3.07,284,1,summer,FireRegion3
86.87072163,225.8207728,3.06,73,1,summer,FireRegion3
86.04545093,227.0005807,3.82,291,1,summer,FireRegion3
84.89079048,228.006281,3.75,291,1,summer,FireRegion3
84.93846115,229.2219691,2.7,274,1,summer,FireRegion3
85.80755196,230.8387618,2.89,287,1,summer,FireRegion3
86.31953882,232.5038308,2.6,289,1,summer,FireRegion3
87.40832946,234.4438656,2.81,272,1,summer,FireRegion3
87.54307069,236.3003823,2.99,9,1,summer,FireRegion3
88.58872735,238.5065322,2.72,304,1,summer,FireRegion3
88.63761889,240.5634029,1.58,118,1,summer,FireRegion3
88.68652658,242.6223439,1.77,222,1,summer,FireRegion3
88.73545041,244.5744238,2.7,294,1,summer,FireRegion3
88.7843904,246.4667243,2.62,285,1,summer,FireRegion3
88.58852011,248.1805021,3.75,282,1,summer,FireRegion3
87.89132493,249.6743306,2.88,282,1,summer,FireRegion3
87.93998623,251.5132451,3.68,259,1,summer,FireRegion3
87.98866359,253.3244675,2.7,255,1,summer,FireRegion3
88.54594837,255.4460523,3.19,253,1,summer,FireRegion3
88.59482579,257.4482869,3.79,250,1,summer,FireRegion3
88.94087619,259.6410532,3.35,267,1,summer,FireRegion3
88.66373849,261.3432353,2.29,288,1,summer,FireRegion3
88.03296028,262.8639604,3,286,1,summer,FireRegion3
88.08166834,264.602585,2.62,360,1,summer,FireRegion3
88.76264119,266.7977375,2.79,191,1,summer,FireRegion3
89.20332511,269.0793367,3.24,202,1,summer,FireRegion3
89.50910919,271.4085605,2.98,279,2,summer,FireRegion3
89.62045808,273.3160471,4.08,255,2,summer,FireRegion3
89.66969025,275.092391,1.79,209,1,summer,FireRegion3
89.71893868,276.9454839,3.11,225,2,summer,FireRegion3
88.61736653,278.182146,3.53,223,1,summer,FireRegion3
87.49751682,279.2316418,4.16,271,1,summer,FireRegion3
86.68586058,141.3602547,3.18,289,1,summer,FireRegion3
84.10536589,125.5258094,3.14,263,1,summer,FireRegion3
83.95233589,128.0734542,2.8,202,1,summer,FireRegion3
85.18414304,129.4988519,1.76,262,1,summer,FireRegion3
85.88721914,130.9745507,2.04,117,1,summer,FireRegion3
86.34899869,132.5311918,1.94,291,1,summer,FireRegion3
86.53131319,134.0532441,2.61,277,1,summer,FireRegion3
86.57952548,135.5304218,3.28,276,1,summer,FireRegion3
84.48543039,135.9986838,4.71,82,1,summer,FireRegion3
84.53296723,136.9476586,3.17,125,1,summer,FireRegion3
84.96111074,138.1212497,2.19,114,1,summer,FireRegion3
86.36160725,139.8379165,2.16,134,1,summer,FireRegion3
86.69420145,141.4407043,2.55,171,1,summer,FireRegion3
87.25929564,143.2318705,3.39,297,1,summer,FireRegion3
87.30774827,144.9007286,3.45,282,1,summer,FireRegion3
87.3562169,146.4327192,2.29,9,1,summer,FireRegion3
87.40470153,147.7562584,3.61,283,1,summer,FireRegion3
85.03920849,148.2696562,5.47,272,1,summer,FireRegion3
82.30408599,148.513203,4.61,289,1,summer,FireRegion3
82.35090266,149.0619108,3.04,104,1,summer,FireRegion3
84.90191681,150.588105,3.69,219,1,summer,FireRegion3
86.53380702,152.377453,2.35,281,1,summer,FireRegion3
87.19161683,153.9072799,2.22,317,1,summer,FireRegion3
87.43195061,155.4115533,1.58,295,1,summer,FireRegion3
89.31731996,157.6859185,2.18,108,1,summer,FireRegion3
89.54068543,159.7761582,1.67,112,1,summer,FireRegion3
88.82467001,161.0399001,1.98,257,1,summer,FireRegion3
88.62273159,162.3623193,1.26,306,1,summer,FireRegion3
88.67163436,164.1289943,1.62,346,1,summer,FireRegion3
88.30182696,165.3377629,1.94,226,1,summer,FireRegion3
88.25006753,166.604941,2.57,278,1,summer,FireRegion3
88.29884726,168.2047946,3.3,243,1,summer,FireRegion3
88.3476431,169.5101152,2.55,220,1,summer,FireRegion3
88.6960044,171.3474466,2.21,25,1,summer,FireRegion3
88.80192532,173.1600672,1.68,261,1,summer,FireRegion3
88.84215939,174.5687821,2.94,306,1,summer,FireRegion3
88.13270134,175.6682291,2.54,250,1,summer,FireRegion3
85.02346028,175.9976264,2.77,53,1,summer,FireRegion3
83.10487175,176.2537068,3.22,326,1,summer,FireRegion3
83.92047259,177.0975725,2.24,94,1,summer,FireRegion3
83.96782291,177.6368933,2.42,304,1,summer,FireRegion3
84.01518886,178.2002923,2.6,107,1,summer,FireRegion3
84.06257045,178.8905217,3.3,295,1,summer,FireRegion3
84.10996768,179.4935259,2.5,302,1,summer,FireRegion3
83.33685876,179.8414645,3.06,116,1,summer,FireRegion3
82.16987993,182.165476,3.12,189,1,summer,FireRegion3
82.68464937,182.6442962,2.96,289,1,summer,FireRegion3
