# ppt,,,,,,
,MN101,MN101,MN101,MN102    ,MN102    ,MN102    
TIMESTEP,MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),STD_DEV(mm/d)
1992-01-01T00:00:00Z,0,0,0,0,0,0
1992-01-02T00:00:00Z,0,0,0,0,0,0
1992-01-03T00:00:00Z,1.5641961,5.729793,2.3936985,1.5641961,5.729793,2.3936985
1992-01-04T00:00:00Z,10.770394,124.54622,11.1600275,10.770394,124.54622,11.1600275
1992-01-05T00:00:00Z,3.0173733,0.20900418,0.45716974,3.0173733,0.20900418,0.45716974
1992-01-06T00:00:00Z,5.431419,2.8704557,1.694242,5.431419,2.8704557,1.694242
1992-01-07T00:00:00Z,0.6172372,0.042726543,0.20670399,0.6172372,0.042726543,0.20670399
1992-01-08T00:00:00Z,0,0,0,0,0,0
1992-01-09T00:00:00Z,0,0,0,0,0,0
1992-01-10T00:00:00Z,0,0,0,0,0,0
1992-01-11T00:00:00Z,0,0,0,0,0,0
1992-01-12T00:00:00Z,0,0,0,0,0,0
1992-01-13T00:00:00Z,0,0,0,0,0,0
1992-01-14T00:00:00Z,0,0,0,0,0,0
1992-01-15T00:00:00Z,0,0,0,0,0,0
1992-01-16T00:00:00Z,0,0,0,0,0,0
1992-01-17T00:00:00Z,0.4309364,0.071911015,0.26816228,0.4309364,0.071911015,0.26816228
1992-01-18T00:00:00Z,0,0,0,0,0,0
1992-01-19T00:00:00Z,0,0,0,0,0,0
1992-01-20T00:00:00Z,0,0,0,0,0,0
1992-01-21T00:00:00Z,0,0,0,0,0,0
1992-01-22T00:00:00Z,0,0,0,0,0,0
1992-01-23T00:00:00Z,0,0,0,0,0,0
1992-01-24T00:00:00Z,0,0,0,0,0,0
1992-01-25T00:00:00Z,0,0,0,0,0,0
1992-01-26T00:00:00Z,0,0,0,0,0,0
1992-01-27T00:00:00Z,0.9773734,2.2409801,1.4969903,0.9773734,2.2409801,1.4969903
1992-01-28T00:00:00Z,0.51975363,0.01805191,0.1343574,0.51975363,0.01805191,0.1343574
1992-01-29T00:00:00Z,0,0,0,0,0,0
1992-01-30T00:00:00Z,0,0,0,0,0,0
1992-01-31T00:00:00Z,3.4866388,28.46397,5.3351636,3.4866388,28.46397,5.3351636
1992-02-01T00:00:00Z,0,0,0,0,0,0
1992-02-02T00:00:00Z,0,0,0,0,0,0
1992-02-03T00:00:00Z,0,0,0,0,0,0
1992-02-04T00:00:00Z,1.4314185,4.341812,2.0837016,1.4314185,4.341812,2.0837016
1992-02-05T00:00:00Z,1.3002474,1.147935,1.0714173,1.3002474,1.147935,1.0714173
1992-02-06T00:00:00Z,1.2871212,0.37229055,0.6101562,1.2871212,0.37229055,0.6101562
1992-02-07T00:00:00Z,1.024601,0.08617194,0.29355058,1.024601,0.08617194,0.29355058
1992-02-08T00:00:00Z,0,0,0,0,0,0
1992-02-09T00:00:00Z,2.3573117,4.1834903,2.0453582,2.3573117,4.1834903,2.0453582
1992-02-10T00:00:00Z,10.622745,8.009361,2.8300815,10.622745,8.009361,2.8300815
1992-02-11T00:00:00Z,8.539607,60.563538,7.782258,8.539607,60.563538,7.782258
1992-02-12T00:00:00Z,6.6859736,3.348933,1.830009,6.6859736,3.348933,1.830009
1992-02-13T00:00:00Z,3.4762251,8.784458,2.9638586,3.4762251,8.784458,2.9638586
1992-02-14T00:00:00Z,25.083084,74.9318,8.656316,25.083084,74.9318,8.656316
1992-02-15T00:00:00Z,16.81379,6.141885,2.4782827,16.81379,6.141885,2.4782827
1992-02-16T00:00:00Z,1.6554699,0.03984789,0.19961937,1.6554699,0.03984789,0.19961937
1992-02-17T00:00:00Z,0.46981785,0.032713365,0.18086837,0.46981785,0.032713365,0.18086837
1992-02-18T00:00:00Z,2.6914072,0.28545037,0.5342756,2.6914072,0.28545037,0.5342756
1992-02-19T00:00:00Z,3.4490948,2.7557976,1.6600596,3.4490948,2.7557976,1.6600596
1992-02-20T00:00:00Z,3.8949556,1.1202765,1.0584311,3.8949556,1.1202765,1.0584311
1992-02-21T00:00:00Z,1.7973803,0.13053085,0.36129054,1.7973803,0.13053085,0.36129054
1992-02-22T00:00:00Z,0.87838143,0.15835077,0.39793313,0.87838143,0.15835077,0.39793313
1992-02-23T00:00:00Z,0,0,0,0,0,0
1992-02-24T00:00:00Z,0,0,0,0,0,0
1992-02-25T00:00:00Z,0,0,0,0,0,0
1992-02-26T00:00:00Z,1.0882292,1.4784696,1.2159233,1.0882292,1.4784696,1.2159233
1992-02-27T00:00:00Z,0,0,0,0,0,0
1992-02-28T00:00:00Z,0,0,0,0,0,0
