Time,InitRow,InitColumn,InitPercentConifer,WindSpeed,WindDirection,FireWeatherIndex,TotalSites,CohortsKilled,MeanSeverity,
1, 40, 9, 0, 0, 0, 0.625065930314804, 0, 0, 0, 
1, 41, 9, 0, 0, 0, 0.625065930314804, 0, 0, 0, 
1, 41, 10, 0, 0, 0, 0.625065930314804, 0, 0, 0, 
1, 40, 10, 0, 0, 0, 0.625065930314804, 0, 0, 0, 
1, 40, 11, 0, 0, 0, 0.625065930314804, 0, 0, 0, 
1, 39, 11, 0, 0, 0, 0.625065930314804, 0, 0, 0, 
1, 98, 81, 0, 0, 0, NaN, 0, 0, 0, 
1, 98, 82, 0, 0, 0, NaN, 0, 0, 0, 
1, 97, 82, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 82, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 83, 0, 0, 0, NaN, 0, 0, 0, 
1, 96, 84, 0, 0, 0, NaN, 0, 0, 0, 
1, 17, 31, 0, 0, 0, NaN, 0, 0, 0, 
1, 17, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 32, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 31, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 30, 0, 0, 0, NaN, 0, 0, 0, 
1, 16, 29, 0, 0, 0, NaN, 0, 0, 0, 
1, 44, 72, 0, 0, 0, NaN, 0, 0, 0, 
1, 44, 71, 0, 0, 0, NaN, 0, 0, 0, 
1, 44, 70, 0, 0, 0, NaN, 0, 0, 0, 
1, 43, 70, 0, 0, 0, NaN, 0, 0, 0, 
1, 43, 71, 0, 0, 0, NaN, 0, 0, 0, 
1, 42, 71, 0, 0, 0, NaN, 0, 0, 0, 
1, 84, 48, 0, 0, 0, NaN, 0, 0, 0, 
1, 84, 47, 0, 0, 0, NaN, 0, 0, 0, 
1, 84, 46, 0, 0, 0, NaN, 0, 0, 0, 
1, 84, 45, 0, 0, 0, NaN, 0, 0, 0, 
1, 85, 45, 0, 0, 0, NaN, 0, 0, 0, 
