,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
1034799,2000,130,Debris Burning,,3.0,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1036533,2000,57,Debris Burning,,1.0,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1030937,1999,345,Debris Burning,,0.3,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1043701,2001,57,Arson,,3.0,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1042207,2001,42,Debris Burning,,0.1,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1034835,2000,38,Arson,,0.1,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1032409,1999,298,Children,,0.1,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1056491,2004,307,Arson,,0.1,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1032408,1999,283,Debris Burning,,0.5,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1034800,2000,134,Arson,,0.3,36.5833,-81.5667,POINT (449303.2050402969 4048797.535650083)
1033355,1999,57,Debris Burning,,2.0,36.5617,-81.3717,POINT (466738.6692688092 4046316.392171182)
1752596,2014,73,Debris Burning,2014/03/14 00:00:00.000,34.0,36.56345,-81.2936,POINT (473728.0094266385 4046486.341158096)
1677009,2013,62,Miscellaneous,2013/03/03 00:00:00.000,0.6,36.5635,-81.30773333,POINT (472463.3414270948 4046495.840975763)
1011535,1994,57,Debris Burning,,0.2,36.565,-81.1083,POINT (490309.275938116 4046623.632034263)
1011529,1994,35,Miscellaneous,,0.1,36.565,-81.1483,POINT (486730.0591153685 4046628.406727006)
1016871,1995,44,Smoking,,0.1,36.565,-81.2117,POINT (481056.9963649475 4046639.024210662)
1033373,1999,98,Debris Burning,,6.0,36.565,-81.355,POINT (468234.4146714947 4046676.801654343)
1021116,1996,73,Arson,,1.0,36.565,-81.385,POINT (465549.9876334196 4046687.129017275)
1021114,1996,73,Arson,,2.0,36.565,-81.385,POINT (465549.9876334196 4046687.129017275)
1021115,1996,73,Arson,,1.0,36.565,-81.385,POINT (465549.9876334196 4046687.129017275)
1516216,2011,81,Missing/Undefined,2011/03/22 00:00:00.000,13.9,36.56516667,-81.33883333,POINT (469681.0869364577 4046690.071554359)
1057876,2004,109,Debris Burning,,1.0,36.5667,-81.2667,POINT (476136.0871884351 4046839.837649289)
1054165,2003,60,Miscellaneous,,0.1,36.5667,-81.3,POINT (473156.4459963093 4046848.616509939)
1045607,2001,27,Debris Burning,,2.0,36.5667,-81.3167,POINT (471662.1504828994 4046853.407574905)
1001362,1992,38,Debris Burning,,4.0,36.5683,-81.3583,POINT (467940.4916109105 4047043.951769555)
1011572,1994,92,Debris Burning,,0.1,36.5717,-81.3717,POINT (466742.9565186892 4047425.650529298)
1016923,1995,100,Children,,10.0,36.4783,-81.695,POINT (437741.2767739153 4037225.534716989)
1428658,2010,297,Equipment Use,2010/10/24 00:00:00.000,8.0,36.47888333,-81.67765,POINT (439295.9820566518 4037279.171915852)
1859757,2015,95,Miscellaneous,2015/04/05 00:00:00.000,2.0,36.4797,-81.69538299999999,POINT (437708.0874072697 4037381.078533035)
1617033,2012,72,Arson,2012/03/12 00:00:00.000,4.0,36.48243333,-81.65715,POINT (441135.0856266529 4037660.239958572)
1426668,2010,105,Equipment Use,2010/04/15 00:00:00.000,0.1,36.48611111,-81.69444444,POINT (437797.2894139398 4038091.631021495)
1025750,1997,101,Arson,,2.0,36.4883,-81.6683,POINT (440140.8128434992 4038317.874682269)
1357542,2007,62,Debris Burning,2007/03/03 00:00:00.000,11.9,36.489967,-81.78423000000001,POINT (429758.3674642362 4038581.065230428)
1280801,2009,52,Smoking,2009/02/21 00:00:00.000,17.9,36.4989,-81.79626,POINT (428689.0391635075 4039580.814301542)
1516599,2011,50,Missing/Undefined,2011/02/19 00:00:00.000,1.0,36.5094,-81.63851667,POINT (442824.034591782 4040640.319596683)
1517751,2011,317,Arson,2011/11/13 00:00:00.000,44.0,36.509183,-81.7547,POINT (432420.0476965299 4040691.508349087)
1356358,2007,308,Arson,2007/11/04 00:00:00.000,0.2,36.5094,-81.76743,POINT (431280.3059983174 4040724.588707894)
1057881,2004,73,Debris Burning,,2.0,36.5167,-81.6833,POINT (438819.6040855288 4041477.605221763)
1356264,2007,59,Debris Burning,2007/02/28 00:00:00.000,8.1,36.52305,-81.82722,POINT (425939.300456523 4042283.081371803)
1357077,2007,344,Miscellaneous,2007/12/10 00:00:00.000,1.4,36.523783,-81.82325,POINT (426295.4356620263 4042361.344369375)
1016925,1995,118,Arson,,0.1,36.5283,-81.6783,POINT (439276.3598684234 4042761.188394411)
1011576,1994,116,Arson,,1.0,36.535,-81.6317,POINT (443453.0740760617 4043476.007323061)
1059551,2005,316,Arson,2005/11/14 00:00:00.000,297.0,36.54166667,-81.70888889,POINT (436548.8234639509 4044263.646512809)
1059550,2005,308,Arson,2005/11/06 00:00:00.000,158.0,36.54333333,-81.70333333,POINT (437047.4488516952 4044444.875293856)
1016900,1995,72,Debris Burning,,3.0,36.5483,-81.625,POINT (444062.4172334748 4044947.415618445)
1001377,1992,69,Arson,,1.0,36.555,-81.6517,POINT (441677.7687500098 4045706.481742162)
1021119,1996,120,Arson,,0.1,36.5583,-81.625,POINT (444069.6240661938 4046056.684001628)
1021120,1996,120,Arson,,0.1,36.5583,-81.625,POINT (444069.6240661938 4046056.684001628)
1514706,2011,353,Missing/Undefined,2011/12/19 00:00:00.000,1.5,36.5613,-81.62158333,POINT (444377.5311735346 4046387.483532425)
513497,2006,75,Miscellaneous,,0.3,36.46507998,-81.67186,POINT (439803.9852766095 4035744.394706091)
513498,2006,75,Miscellaneous,,0.3,36.47070002,-81.64895999,POINT (441859.9596432044 4036353.743716381)
513495,2006,75,Miscellaneous,,0.3,36.47070997,-81.67234998,POINT (439764.4404263836 4036369.210654052)
522389,2007,100,Missing/Undefined,,1.5,36.47547,-81.62213,POINT (444267.090583817 4036867.006013787)
533399,2009,33,Debris Burning,,1.6,36.48193,-81.53277,POINT (452276.354577001 4037535.616484883)
522383,2007,71,Missing/Undefined,,8.0,36.494609999999994,-81.62682,POINT (443860.7482181852 4038992.844270128)
533400,2009,41,Debris Burning,,4.0,36.5,-81.49861,POINT (455346.6834072859 4039523.655365286)
530965,2008,87,Missing/Undefined,,0.2,36.50473,-81.6852,POINT (438640.0340062705 4040151.024671134)
522379,2007,67,Missing/Undefined,,4.0,36.50819,-81.49953000000001,POINT (455269.0035173465 4040432.559883748)
533243,2008,365,Missing/Undefined,,1.4,36.5122,-81.62915,POINT (443664.8121929862 4040945.392029945)
522401,2007,303,Missing/Undefined,,2.0,36.515159999999995,-81.67175,POINT (439852.5746996153 4041299.501182799)
533408,2009,83,Debris Burning,,1.5,36.51667,-81.48383000000001,POINT (456679.6146509018 4041366.028669794)
522378,2007,67,Missing/Undefined,,0.5,36.516740000000006,-81.66138000000001,POINT (440782.3041340344 4041468.336861414)
531114,2008,101,Missing/Undefined,,3.0,36.5302,-81.56429,POINT (449484.2513755779 4042906.067893111)
518377,2005,49,Debris Burning,,4.0,36.5345,-81.49985,POINT (455255.5011162328 4043351.159770793)
513484,2006,59,Debris Burning,,2.0,36.53993997,-81.68121002,POINT (439024.9808541443 4044054.213375553)
530318,2008,63,Missing/Undefined,,0.5,36.54907,-81.62474,POINT (444086.2421732225 4045032.678081068)
522396,2007,128,Missing/Undefined,,0.5,36.550470000000004,-81.61543,POINT (444920.4830362087 4045182.60504602)
522395,2007,128,Missing/Undefined,,2.0,36.55122,-81.61407,POINT (445042.7321892823 4045265.022318875)
518379,2005,81,Debris Burning,,0.5,36.57382,-81.52377,POINT (453138.0124013465 4047724.167854994)
531117,2008,102,Missing/Undefined,,0.1,36.465309999999995,-81.25656,POINT (477013.4338599375 4035590.730795983)
531345,2008,110,Missing/Undefined,,1.0,36.46933,-81.46967,POINT (457921.8574700563 4036108.567168922)
513476,2006,26,Miscellaneous,,3.0,36.47704998,-81.42423002,POINT (461996.6570350546 4036946.024059285)
513479,2006,27,Debris Burning,,3.0,36.47778998,-81.41106997,POINT (463175.9158830213 4037022.999132597)
522403,2007,328,Missing/Undefined,,0.1,36.477909999999994,-81.46991,POINT (457904.9956900087 4037060.404359334)
530440,2008,71,Missing/Undefined,,5.0,36.4783,-81.40925,POINT (463339.1917918485 4037078.878888652)
533409,2009,95,Smoking,,2.0,36.48333,-81.45,POINT (459691.371816516 4037653.103049475)
522361,2007,31,Missing/Undefined,,0.3,36.48458,-81.44575999999999,POINT (460071.8123743373 4037789.993501658)
522362,2007,31,Missing/Undefined,,2.5,36.489340000000006,-81.40958,POINT (463314.8353385743 4038303.61035077)
522399,2007,241,Missing/Undefined,,0.5,36.491040000000005,-81.45721,POINT (459049.5922703337 4038511.372810083)
513502,2006,77,Debris Burning,,0.5,36.49418997,-81.45155002,POINT (459558.1740966143 4038858.391665351)
522370,2007,55,Missing/Undefined,,7.0,36.49553,-81.37416999999999,POINT (466489.1105466182 4038977.332797669)
529704,2008,41,Missing/Undefined,,0.2,36.50073,-81.39286,POINT (464817.567840199 4039560.804964985)
513488,2006,62,Miscellaneous,,6.0,36.50184001,-81.43123997,POINT (461380.9967684165 4039698.636310217)
522373,2007,59,Missing/Undefined,,1.0,36.50558,-81.36471,POINT (467340.578266269 4040088.875629821)
513508,2006,104,Arson,,0.5,36.50599997,-81.35958001,POINT (467800.1395451876 4040133.733273308)
529207,2008,8,Missing/Undefined,,0.5,36.516329999999996,-81.42866,POINT (461619.1975724355 4041304.906997051)
529732,2008,41,Missing/Undefined,,0.5,36.51785,-81.277,POINT (475198.8584711617 4041423.75279176)
522360,2007,27,Missing/Undefined,,1.0,36.51831,-81.44004,POINT (460601.2678641069 4041529.13537267)
522376,2007,66,Missing/Undefined,,1.5,36.51867,-81.44332,POINT (460307.7770732092 4041570.41566608)
522367,2007,53,Missing/Undefined,,1.0,36.5285,-81.37631,POINT (466311.7418816086 4042635.271263242)
529837,2008,41,Missing/Undefined,,4.0,36.535379999999996,-81.31953,POINT (471397.3868062021 4043380.062715753)
529778,2008,41,Missing/Undefined,,1.0,36.53699,-81.31259,POINT (472019.2003025744 4043556.611954663)
522390,2007,100,Missing/Undefined,,6.0,36.538059999999994,-81.40485,POINT (463761.2147878707 4043706.084765462)
518385,2005,330,Debris Burning,,7.0,36.54039,-81.43406999999999,POINT (461146.8364124988 4043975.941622362)
513503,2006,78,Debris Burning,,40.0,36.54093999,-81.44571999,POINT (460104.3341520129 4044041.716463875)
518380,2005,79,Debris Burning,,3.0,36.54493,-81.35575,POINT (468159.0710490814 4044450.773635469)
513486,2006,60,Smoking,,2.0,36.54529998,-81.38245001,POINT (465769.4753536163 4044500.980880674)
522364,2007,42,Missing/Undefined,,75.0,36.545759999999994,-81.41464,POINT (462888.5718439196 4044563.942574679)
533401,2009,43,Miscellaneous,,0.3,36.54583,-81.39860999999999,POINT (464323.3403329297 4044565.644094066)
533398,2009,33,Debris Burning,,1.6,36.55233,-81.40417,POINT (463828.7319680536 4045288.736680149)
522405,2007,332,Missing/Undefined,,3.5,36.55321,-81.42684,POINT (461800.2985587203 4045395.114079531)
522284,2007,69,Missing/Undefined,,3.0,36.55644,-81.29784000000001,POINT (473346.195896032 4045709.920193553)
1016870,1995,26,Debris Burning,,2.0,36.5617,-81.0517,POINT (495373.6687336788 4046253.366455783)
518305,2005,101,Equipment Use,,0.1,36.53113,-81.02211,POINT (498020.7259967211 4042861.380096104)
518375,2005,28,Miscellaneous,,0.5,36.38081,-81.24325999999999,POINT (478181.4253495015 4026214.667351916)
528941,2007,144,Missing/Undefined,,3.0,36.3868,-81.05475,POINT (495089.7215862428 4026853.007114114)
522280,2007,63,Missing/Undefined,,0.5,36.38858,-81.23402,POINT (479012.2728025758 4027074.484126306)
531475,2008,123,Missing/Undefined,,260.0,36.39035,-81.07274,POINT (493476.5766839171 4027247.844602339)
522285,2007,83,Missing/Undefined,,0.6,36.39671,-81.21321,POINT (480880.5796984635 4027971.959861755)
