,FIRE_YEAR,DISCOVER_1,STAT_CAU_1,CONT_DATE,FIRE_SIZE,LATITUDE,LONGITUDE,Coordinates
1029838,1998,253,Lightning,,5.0,36.5617,-81.375,POINT (466443.3697025556 4046317.538426721)
1737086,2014,116,Lightning,2014/04/26 00:00:00.000,7.2,36.50615,-81.846067,POINT (424235.4266419679 4040423.067787313)
358648,2005,132,Lightning,2005/05/14 00:00:00.000,26.0,36.3854,-81.1673,POINT (484995.349451456 4026709.320000181)
358622,2001,125,Lightning,2001/05/05 00:00:00.000,0.5,36.38955,-81.19473,POINT (482536.158008769 4027174.256954954)
1737140,2014,124,Lightning,2014/05/05 00:00:00.000,10.0,36.54366666,-81.5499,POINT (450781.0045085107 4044392.415939793)
1025744,1997,264,Lightning,,0.3,36.5283,-81.155,POINT (486123.9821432097 4042558.408308906)
1006243,1993,193,Lightning,,0.2,36.545,-81.335,POINT (470016.3055463546 4044451.872158786)
1006242,1993,190,Lightning,,1.0,36.4983,-81.2883,POINT (474180.6208115006 4039258.149444521)
1616971,2012,186,Lightning,2012/07/04 00:00:00.000,0.1,36.43333333,-81.06666667,POINT (494024.5343280348 4032015.260836174)
1011554,1994,185,Lightning,,0.2,36.4383,-81.055,POINT (495070.5552637092 4032565.51804675)
1030085,1998,254,Lightning,,0.3,36.375,-81.1283,POINT (488491.6158767901 4025550.381161339)
1012003,1994,144,Lightning,,262.0,36.4083,-81.1417,POINT (487295.0681527475 4029245.763109475)
1011577,1994,146,Lightning,,0.1,36.3617,-81.3983,POINT (464266.7222089816 4024141.122015904)
1617035,2012,77,Lightning,2012/03/17 00:00:00.000,0.5,36.36756667,-81.52946667,POINT (452502.6501461742 4024848.357050146)
1029847,1998,330,Lightning,,1.0,36.385,-81.4117,POINT (463075.5556337445 4026730.65232495)
1737453,2014,162,Lightning,2014/06/11 00:00:00.000,0.1,36.33446666,-81.15576666,POINT (486020.6361386154 4021057.991462934)
1051870,2002,69,Lightning,,25.0,36.35,-81.3167,POINT (471583.1966400705 4022816.255742128)
1012000,1994,118,Lightning,,3.0,36.2917,-81.3483,POINT (468724.5028059873 4016359.303284975)
1045966,2001,124,Lightning,,0.1,36.25,-81.8667,POINT (422132.7766101417 4012025.948281089)
1051895,2002,186,Lightning,,6.0,36.2333,-81.4,POINT (464055.3457207771 4009899.501261464)
1051830,2002,118,Lightning,,0.1,36.2667,-81.5833,POINT (447605.8648531181 4013687.809060063)
358606,2000,134,Lightning,2000/05/15 00:00:00.000,310.0,36.377340000000004,-81.1459,POINT (486913.3041810315 4025812.178337253)
1428903,2010,199,Lightning,2010/07/25 00:00:00.000,0.2,36.23065,-81.27605,POINT (475192.8905115513 4009566.723593301)
1030109,1998,330,Lightning,,0.1,36.2483,-81.3717,POINT (466604.822383391 4011553.175221348)
1051897,2002,190,Lightning,,2.0,36.25,-81.25,POINT (477539.4031874929 4011706.662241219)
1569998,2012,88,Lightning,2012/03/28 00:00:00.000,112.0,36.42972222,-82.02027778,POINT (408544.8141399442 4032096.22147295)
25153,2007,238,Lightning,2007/08/28 00:00:00.000,244.0,36.39972222,-82.14083333,POINT (397698.7692185343 4028889.397467353)
246608,1993,203,Lightning,1993/07/23 00:00:00.000,0.5,36.0976,-81.79826,POINT (428142.7613904178 3995068.734584768)
358609,2000,248,Lightning,2000/09/04 00:00:00.000,0.1,36.13856,-81.73456,POINT (433911.3024663951 3999566.80876077)
597529,2008,119,Lightning,,161.0,36.41907,-81.87928000000001,POINT (421173.0587144722 4030790.180582535)
153532,2001,125,Lightning,2001/05/06 00:00:00.000,59.0,36.56638889,-81.8275,POINT (425955.5783269344 4047090.799259396)
103920,1997,136,Lightning,1997/05/19 00:00:00.000,200.0,36.28833333,-81.93333333,POINT (416187.0403153346 4016333.649139695)
153467,2001,125,Lightning,2001/05/05 00:00:00.000,20.0,36.46888889,-82.0175,POINT (408839.6594580786 4036438.278183387)
112866,1998,253,Lightning,1998/09/11 00:00:00.000,1.0,36.00333333,-82.665,POINT (349937.2408042308 3985600.083230416)
16530,2006,108,Lightning,2006/04/18 00:00:00.000,12.0,36.05166667,-82.56111111,POINT (359387.2056935097 3990806.590812449)
58629,1993,278,Lightning,1993/10/05 00:00:00.000,0.1,36.07666667,-82.7,POINT (346924.5334814442 3993789.460938667)
153596,2002,214,Lightning,2002/08/18 00:00:00.000,360.0,36.11666667,-82.54833333,POINT (360653.00556552 3997998.57028608)
1458604,2011,288,Lightning,2011/10/15 00:00:00.000,0.25,36.2375,-82.37472222,POINT (376468.5228449439 4011167.33893792)
130212,1999,243,Lightning,1999/09/05 00:00:00.000,3.0,36.2,-82.15833333,POINT (395864.2451459268 4006753.493187683)
166980,2004,129,Lightning,2004/05/09 00:00:00.000,75.4,36.2625,-82.23861111,POINT (388735.427508271 4013775.593672405)
82981,1995,196,Lightning,1995/07/15 00:00:00.000,3.0,36.275,-82.18166667,POINT (393867.8974896946 4015098.261344594)
82995,1995,168,Lightning,1995/06/17 00:00:00.000,0.4,36.29,-82.185,POINT (393588.8670439544 4016765.825912694)
1728139,2014,171,Lightning,2014/06/30 00:00:00.000,4.0,36.07472222,-82.47527778,POINT (367157.726030557 3993243.479259421)
1728138,2014,242,Lightning,2014/09/02 00:00:00.000,2.0,36.09138889,-82.43166667,POINT (371112.1844692542 3995033.584208898)
1569984,2012,207,Lightning,2012/07/25 00:00:00.000,0.1,36.12527778,-82.45138889,POINT (369392.6777291952 3998819.119136938)
82975,1995,100,Lightning,1995/04/11 00:00:00.000,14.0,36.04666667,-82.465,POINT (368036.4066354283 3990117.375137947)
82977,1995,101,Lightning,1995/04/12 00:00:00.000,206.0,36.05833333,-82.48833333,POINT (365954.2413335432 3991443.409895054)
82976,1995,100,Lightning,1995/04/13 00:00:00.000,100.0,36.07833333,-82.475,POINT (367188.8144235568 3993643.670996836)
153482,2001,165,Lightning,2001/06/14 00:00:00.000,3.0,36.10833333,-82.455,POINT (369039.5595112302 3996944.369048234)
25116,2007,236,Lightning,2007/08/24 00:00:00.000,49.0,36.13527778,-82.38333333,POINT (375533.0185793029 3999839.049277843)
25351,2007,238,Lightning,2007/08/26 00:00:00.000,0.5,36.13777778,-82.38333333,POINT (375536.9677546936 4000116.366982677)
16532,2006,221,Lightning,2006/08/10 00:00:00.000,0.5,36.15555556,-82.445,POINT (370017.6046011606 4002169.20482458)
153607,2000,303,Lightning,2000/10/30 00:00:00.000,90.0,36.16305556,-82.48111111,POINT (366781.7674677576 4003050.122305276)
27514,2008,161,Lightning,2008/06/10 00:00:00.000,0.25,36.16388889,-82.52722222,POINT (362635.4712167598 4003206.832343659)
25121,2007,101,Lightning,2007/04/12 00:00:00.000,0.1,36.19972222,-82.34111111,POINT (379430.9927482994 4006934.404013086)
1051828,2002,117,Lightning,,2.0,36.2333,-81.7333,POINT (434104.0782629657 4010074.592989616)
1051892,2002,185,Lightning,,0.2,36.2,-81.3667,POINT (467033.7837741421 4006194.053326382)
1001635,1992,106,Lightning,,0.2,36.1683,-81.5083,POINT (454285.4833936287 4002735.319206814)
1051825,2002,110,Lightning,,15.0,36.2167,-81.5667,POINT (449064.5216573963 4008132.919350618)
1006537,1993,184,Lightning,,2.0,36.1517,-81.385,POINT (465367.3628169603 4000843.056687213)
1045901,2001,122,Lightning,,5.0,36.1,-81.5833,POINT (447494.7290397584 3995197.482409218)
1006455,1993,156,Lightning,,6.0,36.1083,-81.5483,POINT (450650.4474451435 3996099.771267722)
1051891,2002,185,Lightning,,8.0,36.1167,-81.4333,POINT (461005.2045500175 3996979.227551087)
1038434,2000,301,Lightning,,80.0,36.1167,-81.55,POINT (450502.709483185 3997032.349064123)
1030074,1998,146,Lightning,,0.1,36.1217,-81.4583,POINT (458757.9323465143 3997544.135747041)
1620175,2012,75,Lightning,2012/03/15 00:00:00.000,1.0,36.15321667,-81.44606667,POINT (459874.8574482665 4001034.786206244)
1001636,1992,108,Lightning,,1.0,36.155,-81.5117,POINT (453971.9238785463 4001261.703258779)
1620125,2012,100,Lightning,2012/04/10 00:00:00.000,50.0,36.15635,-81.55758333,POINT (449845.4805095872 4001434.166268548)
1021465,1996,126,Lightning,,0.1,36.1583,-81.445,POINT (459973.3921377551 4001598.181528761)
1051882,2002,118,Lightning,,0.3,36.1167,-81.0333,POINT (497003.1781705699 3996892.828595236)
1728357,2014,123,Lightning,2014/05/04 00:00:00.000,3.0,36.07138889,-81.76388889,POINT (431213.9840117799 3992136.5665249)
1796025,2015,247,Lightning,,0.5,36.10694444,-81.7075,POINT (436320.4128766044 3996041.957158604)
31452,2008,163,Lightning,2008/06/14 00:00:00.000,1.1,36.06083333,-81.65638889,POINT (440886.2974643958 3990895.117417872)
34945,2009,114,Lightning,2009/04/26 00:00:00.000,17.0,36.06583333,-81.66527778,POINT (440089.5531564743 3991455.143233127)
59319,1993,191,Lightning,1993/07/12 00:00:00.000,4.0,36.08333333,-81.64666667,POINT (441778.4677213324 3993384.914449006)
514111,2006,203,Lightning,,0.1,35.96472997,-81.45568001,POINT (458912.2289985745 3980132.45967853)
