,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11,eco1,eco2,eco3,eco4,eco5,eco6,eco8,eco9,eco10,eco11
TIMESTEP,MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),MEAN(DEGREES),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),VARIANCE(DEGREES^2),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES),STD_DEV(DEGREES)
1979-01-01T00:00:00Z,188.972799,187.145074,187.103912,188.249255,189.615409,187.426316,187.628008,187.223351,188.319921,187.873034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-02T00:00:00Z,288.97862,296.287741,288.112482,301.124502,287.655525,283.237044,278.574492,289.017704,302.358214,276.834793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-03T00:00:00Z,309.257844,312.683717,305.554981,310.441593,306.754234,304.722891,297.414631,306.045363,309.971717,298.67521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-04T00:00:00Z,285.520452,297.687929,278.538057,287.446335,291.361969,281.199364,271.244933,284.000652,291.255827,272.851879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-05T00:00:00Z,196.652233,194.543316,196.62887,195.839594,213.797467,199.675483,197.775998,196.54927,198.699859,198.180227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-06T00:00:00Z,210.791417,200.51602,203.943029,198.655255,208.281283,214.181151,209.047894,210.694845,195.919702,209.7159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-07T00:00:00Z,187.834712,188.265285,187.645754,187.675754,195.495516,188.247382,191.21377,188.967127,189.578903,189.204663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-08T00:00:00Z,294.787081,300.729307,295.263791,306.799523,293.171597,290.859826,285.77897,294.894617,307.480011,285.239815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-09T00:00:00Z,322.172328,329.298603,315.314336,328.922628,317.420267,306.847052,298.111283,313.533245,328.498793,297.813459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-10T00:00:00Z,283.721393,303.238152,288.9659,285.486037,277.939527,292.995811,281.611965,296.784039,281.671828,282.45326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-11T00:00:00Z,174.060228,152.671724,160.367019,114.610777,181.534137,198.479153,196.212628,187.99068,98.078572,203.313952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-12T00:00:00Z,196.79393,187.826157,211.28165,201.545989,154.017555,219.642032,183.510285,205.503365,196.332673,201.313675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-13T00:00:00Z,207.897145,201.967829,193.764308,208.811263,172.403517,205.870886,173.185262,192.790663,206.951334,183.782776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-14T00:00:00Z,275.839784,280.146117,275.439138,279.229022,277.649084,274.245288,269.481966,275.720051,280.915982,269.596549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-15T00:00:00Z,316.314605,325.632331,311.595834,324.57505,314.69592,302.270151,296.451685,308.695248,325.204671,296.80736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-16T00:00:00Z,232.8193,220.889064,225.164453,215.352639,211.327782,237.912546,230.92084,233.570754,209.182893,233.491554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-17T00:00:00Z,237.889906,233.466608,228.463432,225.198063,225.074662,238.825344,230.590831,236.097482,220.764015,233.367566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-18T00:00:00Z,316.241396,319.566428,314.614433,323.450074,312.804746,310.311243,304.776855,313.639215,323.084091,304.830158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-19T00:00:00Z,218.966924,230.366716,215.14866,216.857786,204.280021,208.943211,202.400642,205.535543,213.712786,215.308373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-20T00:00:00Z,191.501783,202.110366,192.522607,197.376557,209.038174,187.329266,194.10671,192.946184,198.012015,190.797148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
