# ppt,,,,,,
,MN101,MN102    ,MN101,MN102    ,MN101,MN102    
TIMESTEP,MEAN(mm/d),MEAN(mm/d),VARIANCE(mm/d^2),VARIANCE(mm/d^2),STD_DEV(mm/d),STD_DEV(mm/d)
1979-01-01T00:00:00Z,0,0,0,0,0,0
1979-01-02T00:00:00Z,0,0,0,0,0,0
1979-01-03T00:00:00Z,0.34114438,0.4223959,0.16309392,0.25214756,0.4038489,0.50214297
1979-01-04T00:00:00Z,0.99549264,1.3578656,0.6891786,1.2368116,0.83016783,1.1121204
1979-01-05T00:00:00Z,0.6201983,1.1471659,0.8521912,1.5139638,0.923142,1.2304324
1979-01-06T00:00:00Z,0.51557463,0.6049626,0.14535421,0.2470071,0.38125348,0.4969981
1979-01-07T00:00:00Z,1.922901,3.3946934,6.3498783,13.652043,2.5198965,3.6948671
1979-01-08T00:00:00Z,4.7104545,7.6606226,25.875772,42.92891,5.0868235,6.552016
1979-01-09T00:00:00Z,7.6371546,8.692284,15.513651,35.224533,3.9387372,5.935026
1979-01-10T00:00:00Z,20.486664,33.75249,369.31326,606.6026,19.217524,24.629303
1979-01-11T00:00:00Z,37.101933,53.02007,598.3562,878.12555,24.46132,29.633183
1979-01-12T00:00:00Z,13.2596,13.001851,34.434864,51.92785,5.8681226,7.206098
1979-01-13T00:00:00Z,4.810414,6.570742,14.265357,21.620823,3.7769508,4.64982
1979-01-14T00:00:00Z,15.7570305,19.740688,34.790054,43.636517,5.898309,6.605794
1979-01-15T00:00:00Z,16.240808,16.341623,51.57168,51.23308,7.1813426,7.1577287
1979-01-16T00:00:00Z,1.1214435,0.7786125,1.7411612,1.5908105,1.3195307,1.2612734
1979-01-17T00:00:00Z,0.016433122,0.03679884,0.001031169,0.003543394,0.032111824,0.059526414
1979-01-18T00:00:00Z,0.03287381,0.09048903,0.010604924,0.025907971,0.10298021,0.16095953
1979-01-19T00:00:00Z,0,0,0,0,0,0
1979-01-20T00:00:00Z,0,0,0,0,0,0
1979-01-21T00:00:00Z,0,0,0,0,0,0
1979-01-22T00:00:00Z,0,0,0,0,0,0
1979-01-23T00:00:00Z,0.5392324,0.84085155,0.38634425,0.8355327,0.62156594,0.9140748
1979-01-24T00:00:00Z,1.6375555,2.6513703,1.8429523,2.3643687,1.3575538,1.5376503
1979-01-25T00:00:00Z,0.960942,1.2247671,0.8202557,1.3544972,0.9056797,1.1638287
1979-01-26T00:00:00Z,0.105128124,0.19728248,0.029194374,0.077020034,0.17086361,0.27752483
1979-01-27T00:00:00Z,0.11201341,0.24913998,0.091317706,0.17983298,0.3021882,0.4240672
1979-01-28T00:00:00Z,0.48990005,0.83136237,0.68562055,1.5058101,0.82802206,1.2271146
1979-01-29T00:00:00Z,0.8924028,1.8480394,3.5390131,6.5943418,1.8812265,2.567945
1979-01-30T00:00:00Z,2.5535116,3.3606355,3.9655242,3.699802,1.9913625,1.923487
1979-01-31T00:00:00Z,5.6281404,6.0467963,6.4275513,6.8267837,2.5352616,2.6128113
1979-02-01T00:00:00Z,2.039032,2.6542442,1.0652846,1.8288927,1.0321262,1.3523656
1979-02-02T00:00:00Z,1.7948592,1.9002923,2.4491315,2.5140228,1.5649701,1.585567
1979-02-03T00:00:00Z,0,0,0,0,0,0
1979-02-04T00:00:00Z,0,0,0,0,0,0
1979-02-05T00:00:00Z,0,0,0,0,0,0
1979-02-06T00:00:00Z,0,0,0,0,0,0
1979-02-07T00:00:00Z,0,0,0,0,0,0
1979-02-08T00:00:00Z,0,0,0,0,0,0
1979-02-09T00:00:00Z,0,0,0,0,0,0
1979-02-10T00:00:00Z,0,0,0,0,0,0
1979-02-11T00:00:00Z,0,0,0,0,0,0
1979-02-12T00:00:00Z,5.003342,6.233707,16.283184,18.323698,4.0352426,4.2806187
1979-02-13T00:00:00Z,21.927525,30.452003,222.53209,273.48273,14.917509,16.537313
1979-02-14T00:00:00Z,20.621891,25.899069,285.60504,404.3367,16.899853,20.108126
1979-02-15T00:00:00Z,2.3032396,2.1235943,1.7878789,2.2088597,1.3371159,1.4862233
1979-02-16T00:00:00Z,3.111966,3.3078694,6.6315384,10.440931,2.5751774,3.2312431
1979-02-17T00:00:00Z,2.781057,2.7359385,4.8022823,7.2648706,2.191411,2.6953423
1979-02-18T00:00:00Z,5.767019,8.525596,24.808338,31.067278,4.980797,5.573803
1979-02-19T00:00:00Z,11.696455,13.310846,43.090736,70.36853,6.5643535,8.388596
1979-02-20T00:00:00Z,11.553968,16.459127,77.98697,79.20938,8.831023,8.899965
